source,source_kind,raw_line,source_text_all,candidate_norm,candidate_formatted,ocr_confidence,line_index,line_center_y,line_height_ratio,source_bonus,pattern_score,confidence_bonus,line_quality_bonus,noise_penalty,agreement_bonus,conflict_adjustment,score,removed_noise_suffix,notes,final_score,run_label,filename,plat_gt,rank,selected
full_crop,full_crop_joined,BE 1943FL 09·30,BE 1943FL 09·30,BE1943FL,BE 1943 FL,0.9618421594301859,,,,0.5,107.0,11.542105913162231,0.0,-2.8,0.0,0.0,116.24210591316223,0930,removed trailing noisy suffix after valid 2-letter plate suffix: 0930; trailing digits/date-like noise removed,116.24210591316223,improved_v2_test,alpr_lampung_000001.jpg,BE 1943 FL,1,True
full_crop,full_crop_joined,BE 1943FL 09·30,BE 1943FL 09·30,BE1943F,BE 1943 F,0.9618421594301859,,,,0.5,105.0,11.542105913162231,0.0,-3.5,0.0,0.0,113.54210591316223,L0930,removed trailing noisy suffix after valid 1-letter plate suffix: L0930; trailing digits/date-like noise removed,113.54210591316223,improved_v2_test,alpr_lampung_000001.jpg,BE 1943 FL,2,False
full_crop,full_crop_line,BE1282ANG,BE1282ANG C4·29,BE1282ANG,BE 1282 ANG,0.9962123036384583,0.0,0.35344827586206895,0.6206896551724138,2.0,118.0,11.954547643661499,8.0,0.0,8.0,68.0,139.9545476436615,,"candidate from single OCR line; exact plate-like candidate without trailing noise; agreement with another OCR source; full_crop candidate preferred: same number, comparable suffix conflict, and full crop contains plausible plate before date/noise; full_crop candidate preferred: same number, comparable suffix conflict, and full crop contains plausible plate before date/noise",215.9545476436615,improved_v2_test,alpr_lampung_000015.jpg,BE 1282 ANG,1,True
full_crop,full_crop_joined,BE1282ANG C4·29,BE1282ANG C4·29,BE1282ANG,BE 1282 ANG,0.8128653168678284,,,,0.5,113.0,9.75438380241394,0.0,-2.8,8.0,80.0,120.45438380241394,C429,"removed trailing noisy suffix after valid 3-letter plate suffix: C429; trailing digits/date-like noise removed; agreement with another OCR source; full_crop candidate preferred: same number, comparable suffix conflict, and full crop contains plausible plate before date/noise; full_crop candidate preferred: same number, comparable suffix conflict, and full crop contains plausible plate before date/noise",208.45438380241393,improved_v2_test,alpr_lampung_000015.jpg,BE 1282 ANG,2,False
main_roi,main_roi_line,BE1282ANG,BE1282ANG,BE1282AN,BE 1282 AN,0.9938652515411377,0.0,0.5,0.9710144927536232,2.2,104.0,11.926383018493652,8.0,-3.7,8.0,0.0,122.42638301849365,G,candidate from single OCR line; removed trailing noisy suffix after valid 2-letter plate suffix: G; shorter suffix penalized because 3-letter suffix remains plausible; agreement with another OCR source,130.42638301849365,improved_v2_test,alpr_lampung_000015.jpg,BE 1282 ANG,3,False
full_crop,full_crop_line,BE1282ANG,BE1282ANG C4·29,BE1282AN,BE 1282 AN,0.9962123036384583,0.0,0.35344827586206895,0.6206896551724138,2.0,104.0,11.954547643661499,8.0,-3.7,8.0,0.0,122.2545476436615,G,candidate from single OCR line; removed trailing noisy suffix after valid 2-letter plate suffix: G; shorter suffix penalized because 3-letter suffix remains plausible; agreement with another OCR source,130.2545476436615,improved_v2_test,alpr_lampung_000015.jpg,BE 1282 ANG,4,False
main_roi,main_roi_line,BE1282ANG,BE1282ANG,BE1282ANG,BE 1282 ANG,0.9938652515411377,0.0,0.5,0.9710144927536232,2.2,118.0,11.926383018493652,8.0,0.0,8.0,-20.0,140.12638301849364,,candidate from single OCR line; exact plate-like candidate without trailing noise; agreement with another OCR source; main_roi penalized: comparable suffix conflict with plausible full_crop candidate; main_roi penalized: comparable suffix conflict with plausible full_crop candidate,128.12638301849364,improved_v2_test,alpr_lampung_000015.jpg,BE 1282 ANG,5,False
main_roi,main_roi_line,BE1282ANG,BE1282ANG,BE1282A,BE 1282 A,0.9938652515411377,0.0,0.5,0.9710144927536232,2.2,102.0,11.926383018493652,8.0,-4.4,8.0,0.0,119.72638301849365,NG,candidate from single OCR line; removed trailing noisy suffix after valid 1-letter plate suffix: NG; shorter suffix penalized because 3-letter suffix remains plausible; agreement with another OCR source,127.72638301849365,improved_v2_test,alpr_lampung_000015.jpg,BE 1282 ANG,6,False
full_crop,full_crop_line,BE1282ANG,BE1282ANG C4·29,BE1282A,BE 1282 A,0.9962123036384583,0.0,0.35344827586206895,0.6206896551724138,2.0,102.0,11.954547643661499,8.0,-4.4,8.0,0.0,119.5545476436615,NG,candidate from single OCR line; removed trailing noisy suffix after valid 1-letter plate suffix: NG; shorter suffix penalized because 3-letter suffix remains plausible; agreement with another OCR source,127.5545476436615,improved_v2_test,alpr_lampung_000015.jpg,BE 1282 ANG,7,False
main_roi,main_roi_joined,BE1282ANG,BE1282ANG,BE1282AN,BE 1282 AN,0.9938652515411377,,,,0.8,104.0,11.926383018493652,0.0,-3.7,8.0,0.0,113.02638301849365,G,removed trailing noisy suffix after valid 2-letter plate suffix: G; shorter suffix penalized because 3-letter suffix remains plausible; agreement with another OCR source,121.02638301849365,improved_v2_test,alpr_lampung_000015.jpg,BE 1282 ANG,8,False
full_crop,full_crop_joined,BE1282ANG C4·29,BE1282ANG C4·29,BE1282AN,BE 1282 AN,0.8128653168678284,,,,0.5,107.0,9.75438380241394,0.0,-6.5,8.0,0.0,110.75438380241394,GC429,removed trailing noisy suffix after valid 2-letter plate suffix: GC429; trailing digits/date-like noise removed; shorter suffix penalized because 3-letter suffix remains plausible; agreement with another OCR source,118.75438380241394,improved_v2_test,alpr_lampung_000015.jpg,BE 1282 ANG,9,False
main_roi,main_roi_joined,BE1282ANG,BE1282ANG,BE1282ANG,BE 1282 ANG,0.9938652515411377,,,,0.8,118.0,11.926383018493652,0.0,0.0,8.0,-20.0,130.72638301849366,,exact plate-like candidate without trailing noise; agreement with another OCR source; main_roi penalized: comparable suffix conflict with plausible full_crop candidate; main_roi penalized: comparable suffix conflict with plausible full_crop candidate,118.72638301849366,improved_v2_test,alpr_lampung_000015.jpg,BE 1282 ANG,10,False
